State,AM,FM_Commercial,FM_Educational,Total
Alabama,71,14,1,88
Arizona,25,0,2,28
Arkansas,34,7,0,41
California,143,58,7,219
Colorado,35,3,0,38
Connecticut,27,11,0,39
Delaware,5,3,0,9
District of Columbia,7,8,0,19
Florida,75,21,1,100
Georgia,76,22,1,102
Idaho,22,3,0,25
Illinois,74,46,5,130
Indiana,45,20,6,73
Iowa,52,20,2,76
Kansas,39,6,1,46
Kentucky,43,12,3,60
Louisiana,42,16,2,61
Maine,16,2,0,18
Maryland,22,18,0,43
Massachusetts,51,28,2,83
Michigan,63,25,4,98
Minnesota,49,10,2,63
Mississippi,43,5,1,49
Missouri,51,15,2,70
Montana,25,0,0,25
Nebraska,22,3,0,27
Nevada,10,1,0,11
New Hampshire,12,4,0,16
New Jersey,20,13,2,36
New Mexico,25,0,1,27
New York,95,56,6,170
North Carolina,93,42,2,139
North Dakota,14,0,0,14
Ohio,69,45,6,132
Oklahoma,46,10,3,61
Oregon,43,8,2,53
Pennsylvania,111,63,4,185
Rhode Island,11,5,0,18
South Carolina,42,11,0,53
South Dakota,14,1,0,15
Tennessee,57,13,1,73
Texas,183,29,4,222
Utah,18,3,1,24
Vermont,9,0,0,9
Virginia,57,20,0,79
Washington,53,7,1,62
West Virginia,38,15,0,54
Wisconsin,55,18,6,80
Wyoming,13,0,0,13
Alaska,10,0,0,10
Hawaii,12,0,0,12
Puerto Rico,25,0,0,25
Virgin Islands,3,0,0,3
Grand totals,2295,740,82,3226
